,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,1.0,0.0010093212127685546,145.0,148.0
std,0.0,0.0006904448573518387,103.52992052756751,104.30510800318244
min,1.0,0.0001537799835205078,11.0,14.0
25%,1.0,0.0004826784133911133,63.25,65.25
50%,1.0,0.0008890628814697266,131.5,134.5
75%,1.0,0.0014906525611877441,220.5,223.75
max,1.0,0.0022704601287841797,324.0,329.0
