,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,1.0,0.06846504211425782,2691.4,3172.6
std,0.0,0.05279330924820639,1483.0207311055665,2169.6678291593134
min,1.0,0.00035500526428222656,34.0,35.0
25%,1.0,0.029031872749328613,1750.0,1751.25
50%,1.0,0.06312310695648193,3014.5,3015.5
75%,1.0,0.0947486162185669,3596.75,3906.25
max,1.0,0.17411231994628906,4802.0,7204.0
