,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,1.0,0.00012581348419189454,5.7,8.8
std,0.0,2.942579622191971e-05,3.8311588035185618,5.452828012447608
min,1.0,8.249282836914062e-05,0.0,1.0
25%,1.0,9.936094284057617e-05,2.0,3.25
50%,1.0,0.000133514404296875,6.5,10.5
75%,1.0,0.00014346837997436523,8.75,12.75
max,1.0,0.00016069412231445312,10.0,15.0
