,length,time,memory_num,visited_num
count,1000.0,1000.0,1000.0,1000.0
mean,1.983,0.005284618139266967,813.308,818.262
std,0.5941919421063095,0.002374339607025211,365.73610983609274,369.757284993557
min,1.0,0.00237274169921875,368.0,368.0
25%,2.0,0.004747569561004639,735.0,739.0
50%,2.0,0.004786849021911621,737.0,741.0
75%,2.0,0.007075965404510498,1100.0,1109.0
max,3.0,0.016987323760986328,2570.0,2597.0
