,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,1.0,0.002437996864318848,369.2,370.0
std,0.0,2.997592589401502e-05,1.2292725943057183,0.6666666666666666
min,1.0,0.0024123191833496094,368.0,369.0
25%,1.0,0.0024216175079345703,368.0,370.0
50%,1.0,0.0024254322052001953,369.0,370.0
75%,1.0,0.002440214157104492,370.0,370.0
max,1.0,0.0024945735931396484,371.0,371.0
