,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,1.0,0.00018923282623291017,16.4,15.4
std,0.0,4.8145731501239665e-06,0.5163977794943222,0.5163977794943222
min,1.0,0.00018334388732910156,16.0,15.0
25%,1.0,0.0001850724220275879,16.0,15.0
50%,1.0,0.00018918514251708984,16.0,15.0
75%,1.0,0.00019097328186035156,17.0,16.0
max,1.0,0.00019812583923339844,17.0,16.0
