,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)",cmds,length,time,memory_num,visited_num
34,"('off',)","(92,)","(6700,)","(0,)","(58,)","('on',)","(12,)","(6700,)","(80,)","(0,)","['setHue:80', 'setLevel:12']",2,0.0048258304595947266,738,740
35,"('on',)","(24,)","(6600,)","(30,)","(0,)","('on',)","(29,)","(6600,)","(25,)","(0,)","['setHue:25', 'setLevel:29']",2,0.00483250617980957,736,742
36,"('on',)","(27,)","(5100,)","(34,)","(0,)","('on',)","(27,)","(5100,)","(54,)","(0,)",['setHue:54'],1,0.0024116039276123047,369,371
37,"('off',)","(73,)","(7500,)","(0,)","(71,)","('on',)","(95,)","(7500,)","(0,)","(100,)","['setSaturation:100', 'setLevel:95']",2,0.004788875579833984,737,739
38,"('off',)","(67,)","(6600,)","(0,)","(100,)","('on',)","(67,)","(6600,)","(0,)","(34,)",['setSaturation:34'],1,0.0023970603942871094,370,369
39,"('on',)","(69,)","(6700,)","(52,)","(0,)","('on',)","(86,)","(8900,)","(52,)","(0,)","['setLevel:86', 'setColorTemperature:8900']",2,0.0071735382080078125,1103,1113
40,"('on',)","(0,)","(4100,)","(0,)","(52,)","('on',)","(47,)","(4100,)","(5,)","(0,)","['setHue:5', 'setLevel:47']",2,0.004732847213745117,737,741
41,"('on',)","(35,)","(3400,)","(47,)","(0,)","('on',)","(35,)","(8100,)","(25,)","(0,)","['setHue:25', 'setColorTemperature:8100']",2,0.0048105716705322266,736,742
42,"('off',)","(34,)","(2500,)","(0,)","(67,)","('on',)","(18,)","(2500,)","(40,)","(0,)","['setHue:40', 'setLevel:18']",2,0.0047817230224609375,738,740
43,"('off',)","(21,)","(4700,)","(0,)","(57,)","('on',)","(62,)","(5300,)","(0,)","(58,)","['setLevel:62', 'setColorTemperature:5300', 'setSaturation:58']",3,0.016987323760986328,2563,2589
44,"('off',)","(58,)","(5700,)","(0,)","(66,)","('on',)","(62,)","(6700,)","(0,)","(66,)","['setLevel:62', 'setColorTemperature:6700']",2,0.0071659088134765625,1104,1109
45,"('on',)","(75,)","(2800,)","(98,)","(0,)","('on',)","(75,)","(2800,)","(0,)","(18,)",['setSaturation:18'],1,0.002439260482788086,369,371
46,"('off',)","(4,)","(3100,)","(0,)","(91,)","('on',)","(62,)","(4400,)","(0,)","(60,)","['setSaturation:60', 'setLevel:62', 'setColorTemperature:4400']",3,0.009512662887573242,1469,1479
47,"('off',)","(19,)","(5200,)","(0,)","(64,)","('on',)","(40,)","(5200,)","(9,)","(0,)","['setHue:9', 'setLevel:40']",2,0.004756450653076172,738,740
48,"('on',)","(89,)","(5200,)","(0,)","(79,)","('on',)","(79,)","(5200,)","(0,)","(86,)","['setLevel:79', 'setSaturation:86']",2,0.004800081253051758,734,740
49,"('off',)","(96,)","(6000,)","(0,)","(71,)","('on',)","(33,)","(6000,)","(52,)","(0,)","['setHue:52', 'setLevel:33']",2,0.004782915115356445,738,740
50,"('off',)","(86,)","(3300,)","(76,)","(0,)","('on',)","(21,)","(3300,)","(57,)","(0,)","['setHue:57', 'setLevel:21']",2,0.004784584045410156,739,741
51,"('off',)","(55,)","(7200,)","(3,)","(0,)","('on',)","(28,)","(7200,)","(0,)","(34,)","['setSaturation:34', 'setLevel:28']",2,0.004779815673828125,738,740
