,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)",cmds,length,time,memory_num,visited_num
0,"('off',)","(66,)","(3900,)","(45,)","(0,)","('on',)","(66,)","(3900,)","(0,)","(71,)",['setSaturation:71'],1,0.0024259090423583984,371,370
1,"('off',)","(90,)","(5100,)","(28,)","(0,)","('on',)","(76,)","(5400,)","(20,)","(0,)","['setHue:20', 'setLevel:76', 'setColorTemperature:5400']",3,0.007138967514038086,1106,1112
2,"('on',)","(41,)","(6000,)","(0,)","(72,)","('on',)","(41,)","(8200,)","(1,)","(0,)","['setHue:1', 'setColorTemperature:8200']",2,0.004764080047607422,735,741
3,"('off',)","(70,)","(4100,)","(0,)","(0,)","('on',)","(20,)","(4100,)","(0,)","(8,)","['setLevel:20', 'setSaturation:8']",2,0.004735469818115234,738,739
4,"('on',)","(88,)","(5100,)","(67,)","(0,)","('on',)","(88,)","(3500,)","(0,)","(98,)","['setSaturation:98', 'setColorTemperature:3500']",2,0.004754066467285156,735,741
5,"('on',)","(95,)","(6700,)","(1,)","(0,)","('on',)","(67,)","(8000,)","(50,)","(0,)","['setLevel:67', 'setColorTemperature:8000', 'setHue:50']",3,0.014438152313232422,2202,2226
6,"('off',)","(17,)","(3100,)","(48,)","(0,)","('on',)","(62,)","(3900,)","(0,)","(13,)","['setSaturation:13', 'setLevel:62', 'setColorTemperature:3900']",3,0.00948333740234375,1470,1480
7,"('off',)","(1,)","(6500,)","(0,)","(13,)","('on',)","(66,)","(6500,)","(63,)","(0,)","['setHue:63', 'setLevel:66']",2,0.004765033721923828,737,738
8,"('on',)","(41,)","(6300,)","(0,)","(37,)","('on',)","(68,)","(6300,)","(60,)","(0,)","['setHue:60', 'setLevel:68']",2,0.004770040512084961,735,741
9,"('on',)","(70,)","(6900,)","(67,)","(0,)","('on',)","(81,)","(6900,)","(0,)","(62,)","['setSaturation:62', 'setLevel:81']",2,0.004805088043212891,735,741
10,"('off',)","(62,)","(8400,)","(5,)","(0,)","('on',)","(89,)","(8400,)","(0,)","(77,)","['setSaturation:77', 'setLevel:89']",2,0.004786491394042969,738,740
11,"('on',)","(86,)","(2900,)","(0,)","(24,)","('on',)","(93,)","(3700,)","(0,)","(4,)","['setLevel:93', 'setColorTemperature:3700', 'setSaturation:4']",3,0.0343019962310791,2558,2590
12,"('off',)","(97,)","(4500,)","(0,)","(83,)","('on',)","(75,)","(5500,)","(0,)","(43,)","['setSaturation:43', 'setLevel:75', 'setColorTemperature:5500']",3,0.00721287727355957,1103,1109
13,"('off',)","(10,)","(5800,)","(0,)","(30,)","('on',)","(12,)","(8200,)","(0,)","(38,)","['setLevel:12', 'setColorTemperature:8200', 'setSaturation:38']",3,0.01676630973815918,2563,2589
14,"('on',)","(38,)","(8300,)","(86,)","(0,)","('on',)","(90,)","(8300,)","(46,)","(0,)","['setHue:46', 'setLevel:90']",2,0.0047643184661865234,736,742
15,"('off',)","(95,)","(6400,)","(0,)","(96,)","('on',)","(8,)","(8100,)","(0,)","(64,)","['setSaturation:64', 'setLevel:8', 'setColorTemperature:8100']",3,0.007100820541381836,1103,1109
16,"('on',)","(33,)","(8900,)","(0,)","(11,)","('on',)","(48,)","(8900,)","(95,)","(0,)","['setHue:95', 'setLevel:48']",2,0.004786014556884766,735,741
