,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
17,"('off',)","(9,)","(8800,)","(5,)","(0,)","('on',)","(16,)","(8400,)","(0,)","(92,)","['setSaturation:92', 'setColorTemperature:8400', 'setLevel:16']",3,0.007070064544677734,1104,1110
18,"('on',)","(1,)","(8200,)","(38,)","(0,)","('on',)","(92,)","(8200,)","(14,)","(0,)","['setHue:14', 'setLevel:92']",2,0.004726409912109375,736,740
19,"('off',)","(52,)","(2600,)","(0,)","(9,)","('on',)","(79,)","(2600,)","(5,)","(0,)","['setHue:5', 'setLevel:79']",2,0.004745960235595703,738,740
20,"('off',)","(74,)","(3300,)","(40,)","(0,)","('on',)","(37,)","(4000,)","(20,)","(0,)","['setHue:20', 'setLevel:37', 'setColorTemperature:4000']",3,0.007120847702026367,1106,1112
21,"('off',)","(8,)","(3000,)","(0,)","(98,)","('on',)","(79,)","(7200,)","(0,)","(98,)","['setLevel:79', 'setColorTemperature:7200']",2,0.0047414302825927734,737,739
22,"('off',)","(58,)","(6600,)","(0,)","(81,)","('on',)","(91,)","(8700,)","(0,)","(81,)","['setLevel:91', 'setColorTemperature:8700']",2,0.007086992263793945,1104,1109
23,"('off',)","(37,)","(2700,)","(0,)","(15,)","('on',)","(14,)","(2700,)","(0,)","(65,)","['setLevel:14', 'setSaturation:65']",2,0.004785299301147461,737,739
24,"('off',)","(79,)","(7100,)","(0,)","(51,)","('on',)","(79,)","(7200,)","(83,)","(0,)","['setHue:83', 'setColorTemperature:7200']",2,0.0047762393951416016,738,740
25,"('off',)","(12,)","(5100,)","(97,)","(0,)","('on',)","(12,)","(2900,)","(0,)","(37,)","['setSaturation:37', 'setColorTemperature:2900']",2,0.004804134368896484,738,740
26,"('on',)","(90,)","(8400,)","(86,)","(0,)","('on',)","(59,)","(7600,)","(74,)","(0,)","['setHue:74', 'setColorTemperature:7600', 'setLevel:59']",3,0.007245063781738281,1103,1113
27,"('on',)","(16,)","(8100,)","(43,)","(0,)","('on',)","(79,)","(4300,)","(83,)","(0,)","['setColorTemperature:4300', 'setLevel:79', 'setHue:83']",3,0.01202535629272461,1836,1855
28,"('off',)","(55,)","(4800,)","(40,)","(0,)","('on',)","(16,)","(5500,)","(92,)","(0,)","['setLevel:16', 'setColorTemperature:5500', 'setHue:92']",3,0.01428532600402832,2207,2225
29,"('off',)","(69,)","(8300,)","(0,)","(16,)","('on',)","(77,)","(8300,)","(0,)","(72,)","['setLevel:77', 'setSaturation:72']",2,0.007127046585083008,1104,1109
30,"('off',)","(16,)","(7900,)","(0,)","(16,)","('on',)","(53,)","(5600,)","(0,)","(34,)","['setColorTemperature:5600', 'setLevel:53', 'setSaturation:34']",3,0.011806488037109375,1835,1849
31,"('off',)","(4,)","(2300,)","(0,)","(48,)","('on',)","(42,)","(2300,)","(0,)","(67,)","['setLevel:42', 'setSaturation:67']",2,0.007074594497680664,1104,1109
32,"('on',)","(96,)","(5200,)","(0,)","(75,)","('on',)","(92,)","(7900,)","(4,)","(0,)","['setHue:4', 'setLevel:92', 'setColorTemperature:7900']",3,0.007124900817871094,1102,1112
33,"('off',)","(50,)","(5300,)","(28,)","(0,)","('on',)","(50,)","(6000,)","(0,)","(75,)","['setSaturation:75', 'setColorTemperature:6000']",2,0.00475621223449707,738,740
34,"('on',)","(72,)","(7300,)","(15,)","(0,)","('on',)","(85,)","(7300,)","(0,)","(15,)","['setSaturation:15', 'setLevel:85']",2,0.004769086837768555,735,741
35,"('off',)","(67,)","(2300,)","(0,)","(33,)","('on',)","(67,)","(2700,)","(0,)","(28,)","['setSaturation:28', 'setColorTemperature:2700']",2,0.0047643184661865234,737,739
36,"('off',)","(99,)","(4800,)","(12,)","(0,)","('on',)","(99,)","(8700,)","(0,)","(33,)","['setSaturation:33', 'setColorTemperature:8700']",2,0.004750490188598633,738,740
37,"('on',)","(91,)","(2200,)","(0,)","(84,)","('on',)","(91,)","(2200,)","(19,)","(0,)",['setHue:19'],1,0.002405881881713867,368,369
38,"('off',)","(18,)","(3900,)","(0,)","(55,)","('on',)","(58,)","(2300,)","(0,)","(55,)","['setColorTemperature:2300', 'setLevel:58']",2,0.0047490596771240234,737,739
39,"('off',)","(77,)","(5000,)","(0,)","(19,)","('on',)","(91,)","(5000,)","(44,)","(0,)","['setHue:44', 'setLevel:91']",2,0.004827022552490234,738,740
40,"('on',)","(61,)","(4000,)","(43,)","(0,)","('on',)","(12,)","(4000,)","(0,)","(18,)","['setSaturation:18', 'setLevel:12']",2,0.004784345626831055,735,741
41,"('on',)","(47,)","(5100,)","(67,)","(0,)","('on',)","(47,)","(4400,)","(57,)","(0,)","['setHue:57', 'setColorTemperature:4400']",2,0.0047376155853271484,736,742
42,"('on',)","(0,)","(3600,)","(54,)","(0,)","('on',)","(48,)","(6200,)","(68,)","(0,)","['setLevel:48', 'setColorTemperature:6200', 'setHue:68']",3,0.016809463500976562,2572,2597
43,"('off',)","(69,)","(8800,)","(39,)","(0,)","('on',)","(70,)","(2300,)","(0,)","(43,)","['setSaturation:43', 'setColorTemperature:2300', 'setLevel:70']",3,0.00715184211730957,1104,1110
44,"('on',)","(27,)","(5500,)","(48,)","(0,)","('on',)","(27,)","(3000,)","(2,)","(0,)","['setHue:2', 'setColorTemperature:3000']",2,0.004758358001708984,736,742
45,"('on',)","(40,)","(4700,)","(17,)","(0,)","('on',)","(55,)","(4700,)","(86,)","(0,)","['setLevel:55', 'setHue:86']",2,0.007124185562133789,1103,1113
46,"('off',)","(88,)","(3300,)","(50,)","(0,)","('on',)","(5,)","(3300,)","(66,)","(0,)","['setLevel:5', 'setHue:66']",2,0.004761934280395508,739,741
47,"('on',)","(91,)","(2200,)","(34,)","(0,)","('on',)","(91,)","(8400,)","(91,)","(0,)","['setColorTemperature:8400', 'setHue:91']",2,0.007148265838623047,1103,1111
48,"('on',)","(14,)","(4400,)","(0,)","(54,)","('on',)","(65,)","(4400,)","(50,)","(0,)","['setHue:50', 'setLevel:65']",2,0.00472712516784668,735,741
49,"('off',)","(62,)","(3200,)","(97,)","(0,)","('on',)","(71,)","(3200,)","(0,)","(63,)","['setSaturation:63', 'setLevel:71']",2,0.004773616790771484,738,740
50,"('off',)","(77,)","(2200,)","(0,)","(57,)","('on',)","(57,)","(2200,)","(0,)","(79,)","['setLevel:57', 'setSaturation:79']",2,0.004741668701171875,736,737
51,"('on',)","(45,)","(7800,)","(49,)","(0,)","('on',)","(63,)","(3400,)","(0,)","(98,)","['setSaturation:98', 'setColorTemperature:3400', 'setLevel:63']",3,0.007151365280151367,1101,1111
52,"('on',)","(35,)","(6300,)","(0,)","(28,)","('on',)","(10,)","(6300,)","(0,)","(46,)","['setLevel:10', 'setSaturation:46']",2,0.004737377166748047,734,740
53,"('on',)","(95,)","(3700,)","(59,)","(0,)","('on',)","(92,)","(6600,)","(59,)","(0,)","['setLevel:92', 'setColorTemperature:6600']",2,0.004787445068359375,736,742
54,"('off',)","(56,)","(5500,)","(0,)","(10,)","('on',)","(12,)","(5100,)","(47,)","(0,)","['setHue:47', 'setColorTemperature:5100', 'setLevel:12']",3,0.007140636444091797,1105,1111
55,"('on',)","(92,)","(7000,)","(0,)","(62,)","('on',)","(88,)","(7000,)","(0,)","(68,)","['setLevel:88', 'setSaturation:68']",2,0.004760265350341797,734,740
56,"('off',)","(88,)","(3600,)","(0,)","(74,)","('on',)","(55,)","(3600,)","(59,)","(0,)","['setHue:59', 'setLevel:55']",2,0.0047910213470458984,738,740
57,"('off',)","(75,)","(5100,)","(0,)","(71,)","('on',)","(20,)","(5100,)","(0,)","(41,)","['setSaturation:41', 'setLevel:20']",2,0.004793643951416016,737,739
58,"('off',)","(25,)","(3000,)","(67,)","(0,)","('on',)","(10,)","(5700,)","(40,)","(0,)","['setHue:40', 'setLevel:10', 'setColorTemperature:5700']",3,0.007132291793823242,1106,1112
59,"('off',)","(93,)","(8300,)","(0,)","(79,)","('on',)","(92,)","(8300,)","(18,)","(0,)","['setHue:18', 'setLevel:92']",2,0.00475764274597168,738,740
60,"('off',)","(57,)","(7800,)","(0,)","(77,)","('on',)","(57,)","(2900,)","(39,)","(0,)","['setHue:39', 'setColorTemperature:2900']",2,0.004769086837768555,738,740
61,"('off',)","(8,)","(8800,)","(0,)","(87,)","('off',)","(43,)","(3900,)","(41,)","(0,)","['setHue:41', 'setColorTemperature:3900', 'setLevel:43', 'setLevel:0']",4,0.011783838272094727,1836,1852
62,"('on',)","(9,)","(2700,)","(0,)","(73,)","('on',)","(50,)","(4600,)","(0,)","(86,)","['setLevel:50', 'setColorTemperature:4600', 'setSaturation:86']",3,0.0143890380859375,2196,2220
63,"('off',)","(22,)","(2200,)","(0,)","(59,)","('on',)","(22,)","(8400,)","(0,)","(74,)","['setColorTemperature:8400', 'setSaturation:74']",2,0.007108211517333984,1103,1107
64,"('on',)","(98,)","(3800,)","(67,)","(0,)","('on',)","(1,)","(2400,)","(48,)","(0,)","['setHue:48', 'setColorTemperature:2400', 'setLevel:1']",3,0.007108926773071289,1103,1113
65,"('off',)","(5,)","(3800,)","(9,)","(0,)","('on',)","(96,)","(3000,)","(0,)","(78,)","['setSaturation:78', 'setColorTemperature:3000', 'setLevel:96']",3,0.007090091705322266,1104,1110
66,"('off',)","(39,)","(8400,)","(0,)","(75,)","('on',)","(39,)","(2400,)","(0,)","(60,)","['setSaturation:60', 'setColorTemperature:2400']",2,0.004747867584228516,737,739
67,"('off',)","(33,)","(6900,)","(0,)","(67,)","('on',)","(90,)","(6900,)","(0,)","(29,)","['setSaturation:29', 'setLevel:90']",2,0.00474238395690918,737,739
68,"('on',)","(2,)","(3200,)","(0,)","(33,)","('on',)","(66,)","(3200,)","(78,)","(0,)","['setHue:78', 'setLevel:66']",2,0.004713535308837891,735,741
69,"('off',)","(36,)","(3900,)","(30,)","(0,)","('on',)","(36,)","(7000,)","(19,)","(0,)","['setHue:19', 'setColorTemperature:7000']",2,0.0048160552978515625,739,741
70,"('off',)","(41,)","(6500,)","(0,)","(78,)","('on',)","(41,)","(2600,)","(72,)","(0,)","['setHue:72', 'setColorTemperature:2600']",2,0.0047397613525390625,738,740
71,"('off',)","(32,)","(6200,)","(85,)","(0,)","('on',)","(32,)","(6200,)","(0,)","(7,)",['setSaturation:7'],1,0.0024008750915527344,371,370
72,"('on',)","(6,)","(5200,)","(0,)","(13,)","('on',)","(13,)","(2800,)","(0,)","(20,)","['setColorTemperature:2800', 'setLevel:13', 'setSaturation:20']",3,0.009424209594726562,1465,1480
73,"('on',)","(14,)","(2800,)","(24,)","(0,)","('on',)","(69,)","(5200,)","(0,)","(49,)","['setSaturation:49', 'setLevel:69', 'setColorTemperature:5200']",3,0.009444713592529297,1467,1481
74,"('off',)","(52,)","(5800,)","(0,)","(38,)","('on',)","(56,)","(3300,)","(80,)","(0,)","['setHue:80', 'setColorTemperature:3300', 'setLevel:56']",3,0.007113456726074219,1105,1111
75,"('on',)","(57,)","(8700,)","(3,)","(0,)","('on',)","(11,)","(8700,)","(18,)","(0,)","['setHue:18', 'setLevel:11']",2,0.0047376155853271484,736,742
76,"('on',)","(29,)","(4100,)","(0,)","(25,)","('on',)","(52,)","(8200,)","(70,)","(0,)","['setHue:70', 'setLevel:52', 'setColorTemperature:8200']",3,0.009443044662475586,1469,1483
77,"('off',)","(27,)","(4900,)","(0,)","(52,)","('on',)","(36,)","(3400,)","(63,)","(0,)","['setHue:63', 'setColorTemperature:3400', 'setLevel:36']",3,0.007093667984008789,1105,1111
78,"('off',)","(75,)","(5700,)","(0,)","(56,)","('on',)","(76,)","(5100,)","(85,)","(0,)","['setHue:85', 'setColorTemperature:5100', 'setLevel:76']",3,0.007146596908569336,1105,1111
79,"('on',)","(16,)","(5100,)","(0,)","(89,)","('on',)","(28,)","(8500,)","(44,)","(0,)","['setHue:44', 'setLevel:28', 'setColorTemperature:8500']",3,0.009584665298461914,1469,1483
80,"('on',)","(47,)","(3500,)","(83,)","(0,)","('on',)","(1,)","(3500,)","(24,)","(0,)","['setHue:24', 'setLevel:1']",2,0.004753589630126953,736,742
81,"('off',)","(96,)","(6300,)","(0,)","(81,)","('on',)","(19,)","(3600,)","(87,)","(0,)","['setHue:87', 'setColorTemperature:3600', 'setLevel:19']",3,0.007197856903076172,1105,1111
82,"('off',)","(48,)","(8300,)","(0,)","(99,)","('on',)","(70,)","(8300,)","(17,)","(0,)","['setHue:17', 'setLevel:70']",2,0.004755258560180664,738,740
83,"('on',)","(0,)","(5900,)","(79,)","(0,)","('on',)","(0,)","(5900,)","(0,)","(15,)",['setSaturation:15'],1,0.002396106719970703,370,371
84,"('off',)","(14,)","(3900,)","(7,)","(0,)","('on',)","(8,)","(3900,)","(0,)","(17,)","['setSaturation:17', 'setLevel:8']",2,0.004802227020263672,738,740
85,"('on',)","(98,)","(5100,)","(82,)","(0,)","('on',)","(40,)","(5100,)","(0,)","(42,)","['setSaturation:42', 'setLevel:40']",2,0.004778146743774414,735,741
86,"('on',)","(29,)","(4300,)","(1,)","(0,)","('on',)","(3,)","(4300,)","(52,)","(0,)","['setLevel:3', 'setHue:52']",2,0.0070874691009521484,1103,1113
87,"('off',)","(73,)","(3900,)","(4,)","(0,)","('on',)","(88,)","(2500,)","(0,)","(75,)","['setSaturation:75', 'setColorTemperature:2500', 'setLevel:88']",3,0.00714111328125,1104,1110
88,"('off',)","(53,)","(4900,)","(0,)","(8,)","('on',)","(80,)","(7700,)","(0,)","(13,)","['setSaturation:13', 'setLevel:80', 'setColorTemperature:7700']",3,0.009549617767333984,1469,1479
89,"('on',)","(91,)","(3100,)","(46,)","(0,)","('on',)","(91,)","(3100,)","(0,)","(31,)",['setSaturation:31'],1,0.002418041229248047,369,371
90,"('off',)","(46,)","(2300,)","(0,)","(70,)","('on',)","(88,)","(5600,)","(6,)","(0,)","['setHue:6', 'setLevel:88', 'setColorTemperature:5600']",3,0.009478092193603516,1472,1482
91,"('off',)","(79,)","(6000,)","(0,)","(91,)","('on',)","(79,)","(6000,)","(89,)","(0,)",['setHue:89'],1,0.002375364303588867,370,369
92,"('off',)","(65,)","(3400,)","(0,)","(21,)","('on',)","(65,)","(2200,)","(0,)","(59,)","['setColorTemperature:2200', 'setSaturation:59']",2,0.004760026931762695,737,738
93,"('off',)","(99,)","(8400,)","(0,)","(31,)","('on',)","(99,)","(8400,)","(0,)","(45,)",['setSaturation:45'],1,0.0023970603942871094,370,369
94,"('on',)","(16,)","(2200,)","(9,)","(0,)","('on',)","(90,)","(2200,)","(8,)","(0,)","['setHue:8', 'setLevel:90']",2,0.004771709442138672,736,740
95,"('off',)","(78,)","(3100,)","(50,)","(0,)","('on',)","(87,)","(3100,)","(0,)","(82,)","['setSaturation:82', 'setLevel:87']",2,0.004762411117553711,738,740
96,"('off',)","(34,)","(5000,)","(13,)","(0,)","('on',)","(10,)","(5000,)","(0,)","(86,)","['setSaturation:86', 'setLevel:10']",2,0.0047261714935302734,738,740
97,"('on',)","(29,)","(7700,)","(4,)","(0,)","('on',)","(36,)","(7700,)","(0,)","(29,)","['setSaturation:29', 'setLevel:36']",2,0.004804134368896484,735,741
98,"('off',)","(3,)","(2200,)","(46,)","(0,)","('on',)","(3,)","(5300,)","(0,)","(1,)","['setSaturation:1', 'setColorTemperature:5300']",2,0.0047457218170166016,737,738
99,"('on',)","(29,)","(3500,)","(15,)","(0,)","('on',)","(61,)","(8500,)","(0,)","(15,)","['setSaturation:15', 'setLevel:61', 'setColorTemperature:8500']",3,0.009495735168457031,1467,1481
100,"('on',)","(2,)","(6600,)","(37,)","(0,)","('on',)","(2,)","(7300,)","(0,)","(43,)","['setSaturation:43', 'setColorTemperature:7300']",2,0.004715681076049805,735,741
101,"('off',)","(86,)","(3400,)","(36,)","(0,)","('on',)","(86,)","(2900,)","(0,)","(97,)","['setSaturation:97', 'setColorTemperature:2900']",2,0.004731655120849609,738,740
102,"('off',)","(2,)","(4100,)","(0,)","(54,)","('on',)","(2,)","(4800,)","(73,)","(0,)","['setHue:73', 'setColorTemperature:4800']",2,0.004724264144897461,738,740
103,"('on',)","(63,)","(7200,)","(72,)","(0,)","('on',)","(63,)","(3400,)","(99,)","(0,)","['setColorTemperature:3400', 'setHue:99']",2,0.004760265350341797,736,742
104,"('off',)","(4,)","(2600,)","(95,)","(0,)","('on',)","(4,)","(3100,)","(38,)","(0,)","['setHue:38', 'setColorTemperature:3100']",2,0.004763603210449219,739,741
105,"('on',)","(94,)","(8900,)","(6,)","(0,)","('on',)","(94,)","(3700,)","(0,)","(21,)","['setSaturation:21', 'setColorTemperature:3700']",2,0.004772186279296875,735,741
106,"('on',)","(5,)","(2200,)","(0,)","(7,)","('on',)","(53,)","(7300,)","(45,)","(0,)","['setHue:45', 'setLevel:53', 'setColorTemperature:7300']",3,0.009419441223144531,1469,1480
107,"('on',)","(73,)","(6800,)","(54,)","(0,)","('on',)","(92,)","(6800,)","(0,)","(66,)","['setSaturation:66', 'setLevel:92']",2,0.004798412322998047,735,741
108,"('on',)","(7,)","(4200,)","(60,)","(0,)","('on',)","(7,)","(4200,)","(0,)","(88,)",['setSaturation:88'],1,0.0024673938751220703,369,371
109,"('off',)","(8,)","(2700,)","(0,)","(23,)","('on',)","(8,)","(6500,)","(0,)","(97,)","['setColorTemperature:6500', 'setSaturation:97']",2,0.007170915603637695,1104,1109
110,"('on',)","(78,)","(7800,)","(0,)","(63,)","('on',)","(10,)","(2400,)","(0,)","(4,)","['setSaturation:4', 'setColorTemperature:2400', 'setLevel:10']",3,0.007233858108520508,1100,1110
111,"('off',)","(75,)","(6600,)","(0,)","(29,)","('on',)","(89,)","(6600,)","(0,)","(94,)","['setLevel:89', 'setSaturation:94']",2,0.007198810577392578,1104,1109
112,"('on',)","(60,)","(7400,)","(54,)","(0,)","('on',)","(68,)","(7400,)","(0,)","(76,)","['setSaturation:76', 'setLevel:68']",2,0.004787921905517578,735,741
113,"('on',)","(33,)","(4200,)","(49,)","(0,)","('on',)","(29,)","(4200,)","(0,)","(91,)","['setSaturation:91', 'setLevel:29']",2,0.004765987396240234,735,741
114,"('off',)","(62,)","(4700,)","(73,)","(0,)","('on',)","(66,)","(4700,)","(0,)","(16,)","['setSaturation:16', 'setLevel:66']",2,0.004741668701171875,738,740
115,"('off',)","(23,)","(8500,)","(0,)","(75,)","('on',)","(12,)","(7800,)","(60,)","(0,)","['setHue:60', 'setColorTemperature:7800', 'setLevel:12']",3,0.007118940353393555,1105,1111
116,"('on',)","(82,)","(4400,)","(8,)","(0,)","('on',)","(100,)","(3700,)","(4,)","(0,)","['setHue:4', 'setColorTemperature:3700', 'setLevel:100']",3,0.007041454315185547,1103,1113
117,"('on',)","(9,)","(3800,)","(0,)","(95,)","('on',)","(14,)","(3800,)","(24,)","(0,)","['setHue:24', 'setLevel:14']",2,0.00470280647277832,735,741
118,"('on',)","(59,)","(4300,)","(0,)","(41,)","('on',)","(59,)","(7700,)","(67,)","(0,)","['setHue:67', 'setColorTemperature:7700']",2,0.004800081253051758,735,741
119,"('off',)","(63,)","(5300,)","(0,)","(64,)","('on',)","(31,)","(5300,)","(62,)","(0,)","['setHue:62', 'setLevel:31']",2,0.004732608795166016,738,740
120,"('on',)","(8,)","(6900,)","(93,)","(0,)","('on',)","(14,)","(6700,)","(70,)","(0,)","['setHue:70', 'setColorTemperature:6700', 'setLevel:14']",3,0.0070950984954833984,1103,1113
121,"('off',)","(11,)","(2600,)","(84,)","(0,)","('on',)","(77,)","(8000,)","(69,)","(0,)","['setHue:69', 'setLevel:77', 'setColorTemperature:8000']",3,0.009535074234008789,1473,1483
122,"('off',)","(18,)","(4800,)","(11,)","(0,)","('on',)","(80,)","(7800,)","(10,)","(0,)","['setHue:10', 'setLevel:80', 'setColorTemperature:7800']",3,0.009541988372802734,1473,1483
123,"('off',)","(73,)","(4900,)","(70,)","(0,)","('on',)","(73,)","(4900,)","(25,)","(0,)",['setHue:25'],1,0.002409219741821289,371,370
124,"('off',)","(15,)","(6800,)","(0,)","(86,)","('on',)","(56,)","(2800,)","(0,)","(86,)","['setColorTemperature:2800', 'setLevel:56']",2,0.004752635955810547,737,739
125,"('off',)","(7,)","(5500,)","(0,)","(53,)","('on',)","(95,)","(5500,)","(0,)","(20,)","['setSaturation:20', 'setLevel:95']",2,0.004698276519775391,737,739
126,"('on',)","(3,)","(6600,)","(0,)","(2,)","('on',)","(3,)","(5800,)","(9,)","(0,)","['setHue:9', 'setColorTemperature:5800']",2,0.004744052886962891,735,741
127,"('off',)","(1,)","(8000,)","(74,)","(0,)","('on',)","(1,)","(8000,)","(0,)","(26,)",['setSaturation:26'],1,0.002390146255493164,370,369
128,"('on',)","(78,)","(4300,)","(75,)","(0,)","('on',)","(78,)","(8000,)","(0,)","(44,)","['setSaturation:44', 'setColorTemperature:8000']",2,0.004772663116455078,735,741
129,"('off',)","(16,)","(8900,)","(6,)","(0,)","('on',)","(11,)","(3300,)","(28,)","(0,)","['setHue:28', 'setColorTemperature:3300', 'setLevel:11']",3,0.007128477096557617,1106,1112
130,"('on',)","(82,)","(2300,)","(0,)","(23,)","('on',)","(17,)","(8900,)","(0,)","(11,)","['setSaturation:11', 'setLevel:17', 'setColorTemperature:8900']",3,0.007136344909667969,1100,1110
131,"('off',)","(92,)","(7500,)","(0,)","(31,)","('on',)","(67,)","(6500,)","(46,)","(0,)","['setHue:46', 'setColorTemperature:6500', 'setLevel:67']",3,0.007169961929321289,1105,1111
132,"('on',)","(66,)","(4500,)","(25,)","(0,)","('on',)","(100,)","(4500,)","(25,)","(0,)",['setLevel:100'],1,0.0023932456970214844,369,371
133,"('on',)","(34,)","(3400,)","(0,)","(55,)","('on',)","(34,)","(3400,)","(0,)","(90,)",['setSaturation:90'],1,0.0024034976959228516,368,370
134,"('on',)","(94,)","(3800,)","(0,)","(76,)","('on',)","(46,)","(3800,)","(0,)","(23,)","['setSaturation:23', 'setLevel:46']",2,0.004765033721923828,734,740
135,"('off',)","(60,)","(2300,)","(0,)","(59,)","('on',)","(87,)","(2300,)","(0,)","(46,)","['setSaturation:46', 'setLevel:87']",2,0.0048065185546875,737,739
136,"('on',)","(2,)","(4900,)","(0,)","(13,)","('on',)","(82,)","(4900,)","(0,)","(45,)","['setLevel:82', 'setSaturation:45']",2,0.007107973098754883,1100,1110
137,"('on',)","(87,)","(3400,)","(0,)","(94,)","('on',)","(87,)","(5700,)","(0,)","(63,)","['setSaturation:63', 'setColorTemperature:5700']",2,0.0047760009765625,734,740
138,"('off',)","(23,)","(3200,)","(14,)","(0,)","('on',)","(23,)","(3200,)","(88,)","(0,)",['setHue:88'],1,0.002382040023803711,371,370
139,"('on',)","(98,)","(2600,)","(71,)","(0,)","('on',)","(98,)","(5200,)","(96,)","(0,)","['setColorTemperature:5200', 'setHue:96']",2,0.007166862487792969,1103,1113
140,"('off',)","(57,)","(2300,)","(0,)","(22,)","('on',)","(20,)","(5300,)","(36,)","(0,)","['setHue:36', 'setLevel:20', 'setColorTemperature:5300']",3,0.007096290588378906,1105,1111
141,"('on',)","(64,)","(4700,)","(87,)","(0,)","('on',)","(25,)","(4700,)","(93,)","(0,)","['setLevel:25', 'setHue:93']",2,0.00481104850769043,736,742
142,"('on',)","(55,)","(4600,)","(0,)","(36,)","('on',)","(88,)","(2200,)","(64,)","(0,)","['setHue:64', 'setColorTemperature:2200', 'setLevel:88']",3,0.007099151611328125,1102,1111
143,"('off',)","(70,)","(4700,)","(0,)","(29,)","('on',)","(58,)","(6700,)","(0,)","(48,)","['setLevel:58', 'setColorTemperature:6700', 'setSaturation:48']",3,0.014289140701293945,2201,2219
144,"('on',)","(75,)","(4000,)","(64,)","(0,)","('on',)","(84,)","(5300,)","(0,)","(67,)","['setSaturation:67', 'setLevel:84', 'setColorTemperature:5300']",3,0.009521484375,1467,1481
145,"('off',)","(52,)","(3200,)","(0,)","(28,)","('on',)","(44,)","(8000,)","(85,)","(0,)","['setHue:85', 'setLevel:44', 'setColorTemperature:8000']",3,0.007136821746826172,1105,1111
146,"('off',)","(33,)","(4900,)","(75,)","(0,)","('on',)","(78,)","(4900,)","(0,)","(28,)","['setSaturation:28', 'setLevel:78']",2,0.0050237178802490234,738,740
