,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)",cmds,length,time,memory_num,visited_num
0,"('off',)","(96,)","(5800,)","(29,)","(0,)","('on',)","(45,)","(7100,)","(9,)","(0,)","['setLevel:45', 'setColorTemperature:7100', 'setHue:9']",3,0.014312744140625,2207,2225
1,"('off',)","(96,)","(2200,)","(0,)","(45,)","('on',)","(3,)","(2200,)","(0,)","(10,)","['setSaturation:10', 'setLevel:3']",2,0.004709720611572266,736,737
2,"('on',)","(82,)","(8600,)","(62,)","(0,)","('on',)","(82,)","(3400,)","(57,)","(0,)","['setHue:57', 'setColorTemperature:3400']",2,0.004766702651977539,736,742
3,"('off',)","(55,)","(5600,)","(90,)","(0,)","('on',)","(32,)","(5600,)","(90,)","(0,)",['setLevel:32'],1,0.0024156570434570312,371,370
4,"('off',)","(25,)","(2900,)","(0,)","(24,)","('on',)","(20,)","(6200,)","(0,)","(62,)","['setLevel:20', 'setColorTemperature:6200', 'setSaturation:62']",3,0.01416325569152832,2201,2219
5,"('on',)","(77,)","(4900,)","(14,)","(0,)","('on',)","(100,)","(5200,)","(60,)","(0,)","['setLevel:100', 'setColorTemperature:5200', 'setHue:60']",3,0.014176368713378906,2202,2226
6,"('on',)","(70,)","(8800,)","(0,)","(51,)","('on',)","(45,)","(5100,)","(89,)","(0,)","['setHue:89', 'setColorTemperature:5100', 'setLevel:45']",3,0.007143735885620117,1102,1112
7,"('on',)","(81,)","(5500,)","(84,)","(0,)","('on',)","(48,)","(5300,)","(33,)","(0,)","['setHue:33', 'setColorTemperature:5300', 'setLevel:48']",3,0.0071833133697509766,1103,1113
8,"('on',)","(55,)","(8100,)","(1,)","(0,)","('on',)","(35,)","(3100,)","(0,)","(33,)","['setSaturation:33', 'setColorTemperature:3100', 'setLevel:35']",3,0.007137298583984375,1101,1111
9,"('on',)","(12,)","(8900,)","(0,)","(96,)","('on',)","(12,)","(5100,)","(40,)","(0,)","['setHue:40', 'setColorTemperature:5100']",2,0.004829883575439453,735,741
10,"('on',)","(61,)","(6300,)","(53,)","(0,)","('on',)","(61,)","(5400,)","(0,)","(51,)","['setSaturation:51', 'setColorTemperature:5400']",2,0.004801273345947266,735,741
11,"('on',)","(91,)","(7500,)","(0,)","(95,)","('on',)","(51,)","(7500,)","(0,)","(42,)","['setSaturation:42', 'setLevel:51']",2,0.0047991275787353516,734,740
12,"('on',)","(7,)","(4700,)","(88,)","(0,)","('on',)","(83,)","(5100,)","(0,)","(90,)","['setSaturation:90', 'setLevel:83', 'setColorTemperature:5100']",3,0.009454965591430664,1467,1481
13,"('off',)","(56,)","(6600,)","(0,)","(38,)","('on',)","(56,)","(5100,)","(0,)","(87,)","['setColorTemperature:5100', 'setSaturation:87']",2,0.004805326461791992,737,739
14,"('off',)","(14,)","(3500,)","(0,)","(73,)","('on',)","(59,)","(3500,)","(90,)","(0,)","['setHue:90', 'setLevel:59']",2,0.004769325256347656,738,740
15,"('off',)","(58,)","(4400,)","(0,)","(48,)","('on',)","(51,)","(3500,)","(98,)","(0,)","['setHue:98', 'setColorTemperature:3500', 'setLevel:51']",3,0.0071506500244140625,1105,1111
16,"('off',)","(8,)","(2800,)","(79,)","(0,)","('on',)","(20,)","(7900,)","(46,)","(0,)","['setHue:46', 'setLevel:20', 'setColorTemperature:7900']",3,0.007069110870361328,1106,1112
17,"('on',)","(21,)","(8200,)","(0,)","(76,)","('on',)","(62,)","(3300,)","(31,)","(0,)","['setHue:31', 'setColorTemperature:3300', 'setLevel:62']",3,0.007150411605834961,1102,1112
18,"('off',)","(97,)","(4600,)","(0,)","(67,)","('on',)","(97,)","(7700,)","(0,)","(1,)","['setSaturation:1', 'setColorTemperature:7700']",2,0.004802227020263672,737,739
19,"('on',)","(24,)","(2700,)","(0,)","(2,)","('on',)","(22,)","(2700,)","(7,)","(0,)","['setHue:7', 'setLevel:22']",2,0.004827737808227539,735,741
