,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,1.0,0.00047981739044189453,64.2,63.2
std,0.0,0.0004338928075848783,66.72963692726377,66.72963692726377
min,1.0,7.557868957519531e-05,2.0,1.0
25%,1.0,7.712841033935547e-05,2.0,1.0
50%,1.0,0.00040471553802490234,54.0,53.0
75%,1.0,0.000899970531463623,131.5,130.5
max,1.0,0.0010333061218261719,140.0,139.0
