,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)",cmds,length,time,memory_num,visited_num
0,"('on',)","(95,)","(8500,)","(0,)","(77,)","('on',)","(95,)","(8500,)","(86,)","(0,)",['setHue:86'],1,0.0024945735931396484,368,370
1,"('off',)","(65,)","(2300,)","(0,)","(34,)","('on',)","(65,)","(2300,)","(90,)","(0,)",['setHue:90'],1,0.0024123191833496094,370,369
2,"('off',)","(77,)","(3500,)","(0,)","(66,)","('on',)","(77,)","(3500,)","(74,)","(0,)",['setHue:74'],1,0.0024428367614746094,370,369
3,"('on',)","(68,)","(7900,)","(0,)","(78,)","('on',)","(68,)","(7900,)","(2,)","(0,)",['setHue:2'],1,0.002424001693725586,368,370
4,"('off',)","(61,)","(6700,)","(28,)","(0,)","('on',)","(61,)","(6700,)","(0,)","(10,)",['setSaturation:10'],1,0.0024323463439941406,371,370
5,"('on',)","(20,)","(3200,)","(0,)","(65,)","('on',)","(72,)","(3200,)","(0,)","(65,)",['setLevel:72'],1,0.0024230480194091797,368,370
6,"('on',)","(73,)","(7600,)","(65,)","(0,)","('on',)","(73,)","(7600,)","(70,)","(0,)",['setHue:70'],1,0.0024268627166748047,369,371
7,"('off',)","(54,)","(4800,)","(15,)","(0,)","('on',)","(54,)","(4800,)","(0,)","(93,)",['setSaturation:93'],1,0.0024127960205078125,371,370
8,"('on',)","(57,)","(7100,)","(0,)","(42,)","('on',)","(57,)","(7100,)","(52,)","(0,)",['setHue:52'],1,0.0024900436401367188,368,370
9,"('on',)","(4,)","(5000,)","(26,)","(0,)","('on',)","(61,)","(5000,)","(26,)","(0,)",['setLevel:61'],1,0.002421140670776367,369,371
