,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,1.0,0.05403170585632324,6487.8,6486.8
std,0.0,0.007731388727786537,1161.2423232613137,1161.2423232613137
min,1.0,0.03908109664916992,4805.0,4804.0
25%,1.0,0.0556488037109375,5406.0,5405.0
50%,1.0,0.057906389236450195,7209.0,7208.0
75%,1.0,0.058121442794799805,7209.0,7208.0
max,1.0,0.058485984802246094,7209.0,7208.0
