,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)",cmds,length,time,memory_num,visited_num
0,"('on',)","(56,)","(6700,)","(0,)","(45,)","('on',)","(56,)","(7400,)","(0,)","(45,)",['setColorTemperature:7400'],1,0.0023975372314453125,368,370
1,"('off',)","(9,)","(6500,)","(0,)","(80,)","('on',)","(9,)","(6500,)","(1,)","(0,)",['setHue:1'],1,0.002369403839111328,370,369
2,"('off',)","(99,)","(8000,)","(76,)","(0,)","('on',)","(17,)","(8000,)","(76,)","(0,)",['setLevel:17'],1,0.002374887466430664,371,370
3,"('off',)","(18,)","(2600,)","(0,)","(30,)","('on',)","(50,)","(8400,)","(0,)","(30,)","['setLevel:50', 'setColorTemperature:8400']",2,0.007188081741333008,1104,1109
4,"('on',)","(51,)","(3500,)","(0,)","(70,)","('on',)","(51,)","(3500,)","(0,)","(32,)",['setSaturation:32'],1,0.0023734569549560547,368,370
5,"('off',)","(22,)","(8300,)","(18,)","(0,)","('on',)","(16,)","(8300,)","(18,)","(0,)",['setLevel:16'],1,0.0023708343505859375,371,370
6,"('on',)","(52,)","(6600,)","(0,)","(14,)","('on',)","(52,)","(6600,)","(61,)","(0,)",['setHue:61'],1,0.002400636672973633,368,370
7,"('on',)","(87,)","(5300,)","(5,)","(0,)","('on',)","(90,)","(5300,)","(0,)","(80,)","['setSaturation:80', 'setLevel:90']",2,0.004778146743774414,735,741
8,"('on',)","(79,)","(4400,)","(91,)","(0,)","('on',)","(70,)","(4400,)","(0,)","(2,)","['setSaturation:2', 'setLevel:70']",2,0.004791259765625,735,741
9,"('on',)","(46,)","(8300,)","(11,)","(0,)","('on',)","(46,)","(8300,)","(0,)","(21,)",['setSaturation:21'],1,0.002392292022705078,369,371
10,"('on',)","(29,)","(3100,)","(74,)","(0,)","('on',)","(29,)","(3100,)","(13,)","(0,)",['setHue:13'],1,0.002413034439086914,369,371
11,"('on',)","(26,)","(3500,)","(82,)","(0,)","('on',)","(83,)","(3500,)","(82,)","(0,)",['setLevel:83'],1,0.002411365509033203,369,371
12,"('off',)","(55,)","(3300,)","(0,)","(100,)","('on',)","(66,)","(3300,)","(8,)","(0,)","['setHue:8', 'setLevel:66']",2,0.004791975021362305,738,740
13,"('on',)","(13,)","(8400,)","(0,)","(10,)","('on',)","(90,)","(8400,)","(0,)","(84,)","['setLevel:90', 'setSaturation:84']",2,0.0070858001708984375,1100,1110
14,"('off',)","(76,)","(6200,)","(0,)","(97,)","('on',)","(94,)","(6200,)","(0,)","(97,)",['setLevel:94'],1,0.0024101734161376953,370,369
15,"('off',)","(82,)","(6200,)","(0,)","(90,)","('on',)","(4,)","(6200,)","(57,)","(0,)","['setHue:57', 'setLevel:4']",2,0.004722118377685547,738,740
16,"('off',)","(78,)","(4900,)","(0,)","(69,)","('on',)","(78,)","(6500,)","(0,)","(68,)","['setSaturation:68', 'setColorTemperature:6500']",2,0.004784584045410156,737,739
17,"('off',)","(96,)","(4500,)","(0,)","(61,)","('on',)","(30,)","(4500,)","(74,)","(0,)","['setHue:74', 'setLevel:30']",2,0.004745960235595703,738,740
18,"('off',)","(85,)","(4200,)","(81,)","(0,)","('on',)","(85,)","(8000,)","(2,)","(0,)","['setHue:2', 'setColorTemperature:8000']",2,0.004804372787475586,739,741
19,"('off',)","(73,)","(8300,)","(0,)","(57,)","('on',)","(73,)","(8300,)","(0,)","(21,)",['setSaturation:21'],1,0.0024199485778808594,370,369
20,"('off',)","(9,)","(2500,)","(23,)","(0,)","('on',)","(9,)","(2500,)","(0,)","(50,)",['setSaturation:50'],1,0.00240325927734375,371,370
21,"('off',)","(26,)","(6800,)","(0,)","(30,)","('on',)","(26,)","(6800,)","(91,)","(0,)",['setHue:91'],1,0.0024166107177734375,370,369
22,"('on',)","(39,)","(3300,)","(0,)","(76,)","('on',)","(15,)","(7800,)","(0,)","(76,)","['setLevel:15', 'setColorTemperature:7800']",2,0.004786491394042969,734,740
23,"('off',)","(15,)","(3100,)","(51,)","(0,)","('on',)","(15,)","(8300,)","(30,)","(0,)","['setHue:30', 'setColorTemperature:8300']",2,0.0047512054443359375,739,741
24,"('on',)","(40,)","(3100,)","(0,)","(57,)","('on',)","(20,)","(3100,)","(93,)","(0,)","['setHue:93', 'setLevel:20']",2,0.0047566890716552734,735,741
25,"('off',)","(85,)","(7800,)","(15,)","(0,)","('on',)","(85,)","(8000,)","(0,)","(98,)","['setSaturation:98', 'setColorTemperature:8000']",2,0.004773378372192383,738,740
26,"('off',)","(76,)","(8100,)","(84,)","(0,)","('on',)","(56,)","(8100,)","(80,)","(0,)","['setHue:80', 'setLevel:56']",2,0.004785299301147461,739,741
27,"('off',)","(86,)","(7100,)","(0,)","(58,)","('on',)","(86,)","(8300,)","(50,)","(0,)","['setHue:50', 'setColorTemperature:8300']",2,0.004767894744873047,738,740
28,"('off',)","(0,)","(6600,)","(10,)","(0,)","('on',)","(0,)","(6600,)","(0,)","(90,)",['setSaturation:90'],1,0.0023975372314453125,371,370
29,"('off',)","(65,)","(3800,)","(12,)","(0,)","('on',)","(65,)","(6500,)","(0,)","(31,)","['setSaturation:31', 'setColorTemperature:6500']",2,0.004763603210449219,738,740
30,"('on',)","(71,)","(2600,)","(0,)","(27,)","('on',)","(71,)","(4300,)","(23,)","(0,)","['setHue:23', 'setColorTemperature:4300']",2,0.004761695861816406,735,741
31,"('off',)","(51,)","(3700,)","(75,)","(0,)","('on',)","(51,)","(3700,)","(0,)","(93,)",['setSaturation:93'],1,0.0024161338806152344,371,370
32,"('on',)","(93,)","(5600,)","(6,)","(0,)","('on',)","(52,)","(3300,)","(6,)","(0,)","['setColorTemperature:3300', 'setLevel:52']",2,0.004725456237792969,736,742
33,"('on',)","(80,)","(2300,)","(0,)","(9,)","('on',)","(45,)","(2300,)","(0,)","(9,)",['setLevel:45'],1,0.0023658275604248047,368,370
34,"('off',)","(61,)","(5400,)","(38,)","(0,)","('on',)","(88,)","(5400,)","(0,)","(50,)","['setSaturation:50', 'setLevel:88']",2,0.004747152328491211,738,740
35,"('off',)","(22,)","(4300,)","(81,)","(0,)","('on',)","(87,)","(4300,)","(81,)","(0,)",['setLevel:87'],1,0.0023870468139648438,371,370
36,"('on',)","(4,)","(4000,)","(4,)","(0,)","('on',)","(4,)","(4000,)","(20,)","(0,)",['setHue:20'],1,0.0024323463439941406,369,371
37,"('off',)","(44,)","(2300,)","(85,)","(0,)","('on',)","(44,)","(4500,)","(0,)","(60,)","['setSaturation:60', 'setColorTemperature:4500']",2,0.004774808883666992,738,740
38,"('on',)","(73,)","(2600,)","(22,)","(0,)","('on',)","(73,)","(2600,)","(45,)","(0,)",['setHue:45'],1,0.002421855926513672,369,371
39,"('off',)","(78,)","(8900,)","(0,)","(63,)","('on',)","(78,)","(8600,)","(0,)","(20,)","['setSaturation:20', 'setColorTemperature:8600']",2,0.0048046112060546875,737,739
40,"('off',)","(69,)","(8700,)","(0,)","(61,)","('on',)","(82,)","(8700,)","(0,)","(61,)",['setLevel:82'],1,0.002393960952758789,370,369
