,length,time,memory_num,visited_num
count,1000.0,1000.0,1000.0,1000.0
mean,2.102,0.011595151901245116,95.283,120.628
std,0.6885274650077984,0.006997653780081502,52.32746003843554,63.40449310376787
min,1.0,0.00023174285888671875,2.0,4.0
25%,2.0,0.005516946315765381,53.0,69.75
50%,2.0,0.010549187660217285,85.5,115.0
75%,3.0,0.017669200897216797,139.0,169.25
max,3.0,0.028238296508789062,201.0,294.0
