,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,1.7,0.2360316753387451,1571.8,1576.4
std,0.8232726023485646,0.09754921585414639,655.4346818884565,655.1157997721556
min,1.0,0.1147458553314209,759.0,762.0
25%,1.0,0.1460726261138916,974.0,977.25
50%,1.5,0.23433375358581543,1558.5,1564.5
75%,2.0,0.3317912817001343,2217.25,2221.25
max,3.0,0.3553917407989502,2367.0,2371.0
