,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('colorControl_hue', 'colorControl_saturation')","('switch',)","('switchLevel',)","('colorTemperature',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue', 'colorControl_saturation')",cmds,length,time,memory_num,visited_num
0,"(0, 77)","('off',)","(54,)","(7800,)","('on',)","(47,)","(7200,)","(44, 0)","[('on', None), ('setColorTemperature>1', 7200), ('setHue>1', 44), ('setLevel>1', 47)]",4,0.011397838592529297,52,146
1,"(87, 0)","('off',)","(91,)","(4600,)","('on',)","(91,)","(8700,)","(71, 0)","[('on', None), ('setColorTemperature>1', 8700), ('setHue>1', 71)]",3,0.012349128723144531,73,141
2,"(51, 0)","('on',)","(76,)","(8000,)","('on',)","(8,)","(8000,)","(72, 0)","[('setHue>1', 72), ('setLevel>1', 8)]",2,0.009021282196044922,73,84
3,"(8, 0)","('on',)","(33,)","(2800,)","('on',)","(4,)","(6200,)","(8, 0)","[('setColorTemperature>1', 6200), ('setLevel>1', 4)]",2,0.0028569698333740234,41,48
4,"(0, 75)","('on',)","(55,)","(3100,)","('on',)","(55,)","(3100,)","(0, 86)","[('setSaturation>1', 86)]",1,0.021325111389160156,187,191
5,"(0, 68)","('off',)","(68,)","(5700,)","('on',)","(68,)","(5700,)","(28, 0)","[('on', None), ('setHue>1', 28)]",2,0.0038182735443115234,30,33
6,"(27, 0)","('on',)","(81,)","(5200,)","('on',)","(100,)","(5200,)","(0, 50)","[('setSaturation>1', 50), ('setLevel>1', 100)]",2,0.023213624954223633,151,255
7,"(0, 79)","('on',)","(64,)","(3800,)","('on',)","(64,)","(3700,)","(0, 55)","[('setColorTemperature>1', 3700), ('setSaturation>1', 55)]",2,0.018827199935913086,157,175
8,"(63, 0)","('on',)","(61,)","(7200,)","('on',)","(100,)","(7200,)","(63, 0)","[('setLevel>1', 100)]",1,0.006043672561645508,101,104
9,"(100, 0)","('on',)","(52,)","(2200,)","('on',)","(10,)","(2600,)","(63, 0)","[('setColorTemperature>1', 2600), ('setHue>1', 63), ('setLevel>1', 10)]",3,0.00850677490234375,65,81
10,"(63, 0)","('off',)","(9,)","(5600,)","('on',)","(41,)","(3600,)","(63, 0)","[('on', None), ('setColorTemperature>1', 3600), ('setLevel>1', 41)]",3,0.003808736801147461,42,60
11,"(67, 0)","('on',)","(78,)","(7500,)","('on',)","(88,)","(7500,)","(0, 9)","[('setSaturation>1', 9), ('setLevel>1', 88)]",2,0.017915010452270508,110,202
12,"(24, 0)","('off',)","(72,)","(3300,)","('on',)","(63,)","(3100,)","(24, 0)","[('on', None), ('setColorTemperature>1', 3100), ('setLevel>1', 63)]",3,0.00481867790222168,65,77
13,"(0, 70)","('off',)","(46,)","(6200,)","('on',)","(46,)","(4700,)","(0, 14)","[('on', None), ('setColorTemperature>1', 4700), ('setSaturation>1', 14)]",3,0.015074968338012695,116,145
14,"(0, 41)","('off',)","(9,)","(7300,)","('on',)","(46,)","(7300,)","(0, 55)","[('on', None), ('setSaturation>1', 55), ('setLevel>1', 46)]",3,0.02074742317199707,156,207
15,"(58, 0)","('off',)","(2,)","(2300,)","('on',)","(54,)","(2300,)","(0, 40)","[('on', None), ('setSaturation>1', 40), ('setLevel>1', 54)]",3,0.019634008407592773,141,200
16,"(58, 0)","('off',)","(25,)","(3100,)","('on',)","(87,)","(3100,)","(52, 0)","[('on', None), ('setHue>1', 52), ('setLevel>1', 87)]",3,0.011634349822998047,88,144
17,"(0, 55)","('off',)","(4,)","(5400,)","('on',)","(89,)","(6700,)","(0, 63)","[('on', None), ('setColorTemperature>1', 6700), ('setSaturation>1', 63), ('setLevel>1', 89)]",4,0.027033329010009766,164,303
18,"(41, 0)","('on',)","(95,)","(8000,)","('on',)","(26,)","(8000,)","(41, 0)","[('setLevel>1', 26)]",1,0.00173187255859375,28,30
19,"(65, 0)","('on',)","(90,)","(4100,)","('on',)","(20,)","(4100,)","(0, 64)","[('setSaturation>1', 64), ('setLevel>1', 20)]",2,0.020125150680541992,165,189
20,"(0, 8)","('on',)","(39,)","(3200,)","('on',)","(27,)","(3200,)","(0, 70)","[('setSaturation>1', 70), ('setLevel>1', 27)]",2,0.021162986755371094,171,202
21,"(0, 11)","('on',)","(27,)","(7300,)","('on',)","(30,)","(7300,)","(0, 88)","[('setSaturation>1', 88), ('setLevel>1', 30)]",2,0.02338552474975586,189,223
22,"(100, 0)","('off',)","(44,)","(3900,)","('off',)","(31,)","(3900,)","(93, 0)","[('on', None), ('setHue>1', 93), ('setLevel>1', 31), ('off', None)]",4,0.013204336166381836,95,129
23,"(0, 51)","('on',)","(68,)","(2400,)","('on',)","(68,)","(2200,)","(0, 77)","[('setColorTemperature>1', 2200), ('setSaturation>1', 77)]",2,0.02049088478088379,178,182
24,"(0, 6)","('on',)","(95,)","(4200,)","('on',)","(34,)","(4200,)","(0, 90)","[('setSaturation>1', 90), ('setLevel>1', 34)]",2,0.02382206916809082,191,229
25,"(20, 0)","('off',)","(4,)","(2200,)","('on',)","(27,)","(2200,)","(51, 0)","[('on', None), ('setHue>1', 51), ('setLevel>1', 27)]",3,0.008067131042480469,52,83
26,"(56, 0)","('on',)","(97,)","(5200,)","('on',)","(54,)","(5200,)","(0, 53)","[('setSaturation>1', 53), ('setLevel>1', 54)]",2,0.02087235450744629,154,212
27,"(0, 17)","('off',)","(16,)","(6800,)","('on',)","(16,)","(6800,)","(34, 0)","[('on', None), ('setHue>1', 34)]",2,0.004402875900268555,36,39
28,"(0, 84)","('on',)","(34,)","(5800,)","('on',)","(34,)","(6400,)","(17, 0)","[('setColorTemperature>1', 6400), ('setHue>1', 17)]",2,0.004779338836669922,43,63
29,"(47, 0)","('on',)","(76,)","(7200,)","('on',)","(76,)","(7200,)","(0, 79)","[('setSaturation>1', 79)]",1,0.020486116409301758,180,184
30,"(99, 0)","('off',)","(37,)","(6000,)","('on',)","(37,)","(6500,)","(0, 96)","[('on', None), ('setColorTemperature>1', 6500), ('setSaturation>1', 96)]",3,0.025302410125732422,197,245
31,"(38, 0)","('on',)","(6,)","(3300,)","('on',)","(6,)","(5100,)","(63, 0)","[('setColorTemperature>1', 5100), ('setHue>1', 63)]",2,0.009163856506347656,64,96
32,"(0, 100)","('on',)","(22,)","(4500,)","('on',)","(81,)","(4500,)","(0, 24)","[('setSaturation>1', 24), ('setLevel>1', 81)]",2,0.019204378128051758,126,210
33,"(24, 0)","('on',)","(77,)","(7000,)","('on',)","(76,)","(7000,)","(0, 42)","[('setSaturation>1', 42), ('setLevel>1', 76)]",2,0.020862340927124023,143,223
34,"(0, 94)","('on',)","(52,)","(6800,)","('on',)","(56,)","(7700,)","(0, 94)","[('setColorTemperature>1', 7700), ('setLevel>1', 56)]",2,0.006789684295654297,57,115
35,"(16, 0)","('off',)","(8,)","(5900,)","('on',)","(60,)","(4600,)","(79, 0)","[('on', None), ('setColorTemperature>1', 4600), ('setHue>1', 79), ('setLevel>1', 60)]",4,0.01463460922241211,80,168
36,"(0, 90)","('off',)","(7,)","(8100,)","('on',)","(7,)","(8200,)","(0, 5)","[('on', None), ('setColorTemperature>1', 8200), ('setSaturation>1', 5)]",3,0.016066551208496094,107,171
37,"(0, 0)","('off',)","(50,)","(2300,)","('on',)","(50,)","(8400,)","(0, 54)","[('on', None), ('setColorTemperature>1', 8400), ('setSaturation>1', 54)]",3,0.021612882614135742,155,222
38,"(0, 68)","('on',)","(99,)","(3900,)","('on',)","(73,)","(2900,)","(0, 68)","[('setColorTemperature>1', 2900), ('setLevel>1', 73)]",2,0.004987001419067383,75,84
39,"(40, 0)","('on',)","(6,)","(8000,)","('on',)","(6,)","(8000,)","(0, 1)","[('setSaturation>1', 1)]",1,0.011817693710327148,102,106
40,"(41, 0)","('off',)","(79,)","(4300,)","('on',)","(83,)","(4300,)","(0, 75)","[('on', None), ('setSaturation>1', 75), ('setLevel>1', 83)]",3,0.025409460067749023,176,264
41,"(75, 0)","('on',)","(59,)","(7600,)","('on',)","(73,)","(7600,)","(0, 94)","[('setSaturation>1', 94), ('setLevel>1', 73)]",2,0.026623249053955078,195,272
42,"(78, 0)","('on',)","(41,)","(3500,)","('on',)","(41,)","(4500,)","(40, 0)","[('setColorTemperature>1', 4500), ('setHue>1', 40)]",2,0.006240129470825195,42,67
43,"(0, 33)","('off',)","(41,)","(6600,)","('on',)","(45,)","(4500,)","(65, 0)","[('on', None), ('setColorTemperature>1', 4500), ('setHue>1', 65), ('setLevel>1', 45)]",4,0.012064933776855469,67,138
44,"(0, 5)","('on',)","(56,)","(5900,)","('on',)","(85,)","(5600,)","(0, 5)","[('setColorTemperature>1', 5600), ('setLevel>1', 85)]",2,0.007254123687744141,86,123
45,"(48, 0)","('off',)","(14,)","(5400,)","('on',)","(97,)","(5400,)","(0, 8)","[('on', None), ('setSaturation>1', 8), ('setLevel>1', 97)]",3,0.018642902374267578,109,211
46,"(0, 9)","('off',)","(70,)","(7400,)","('on',)","(60,)","(6800,)","(89, 0)","[('on', None), ('setColorTemperature>1', 6800), ('setHue>1', 89), ('setLevel>1', 60)]",4,0.017013072967529297,91,200
47,"(74, 0)","('on',)","(91,)","(4000,)","('on',)","(86,)","(4000,)","(74, 0)","[('setLevel>1', 86)]",1,0.005233287811279297,88,90
48,"(0, 81)","('off',)","(37,)","(5600,)","('on',)","(37,)","(4700,)","(0, 18)","[('on', None), ('setColorTemperature>1', 4700), ('setSaturation>1', 18)]",3,0.015548229217529297,120,149
49,"(0, 36)","('on',)","(89,)","(7600,)","('on',)","(89,)","(7600,)","(68, 0)","[('setHue>1', 68)]",1,0.007925748825073242,70,72
50,"(17, 0)","('off',)","(92,)","(4900,)","('on',)","(78,)","(2500,)","(17, 0)","[('on', None), ('setColorTemperature>1', 2500), ('setLevel>1', 78)]",3,0.005356550216674805,80,86
51,"(0, 59)","('on',)","(17,)","(4500,)","('on',)","(26,)","(3400,)","(0, 59)","[('setColorTemperature>1', 3400), ('setLevel>1', 26)]",2,0.0025398731231689453,27,42
52,"(0, 75)","('off',)","(92,)","(6500,)","('on',)","(26,)","(6900,)","(0, 75)","[('on', None), ('setColorTemperature>1', 6900), ('setLevel>1', 26)]",3,0.0048334598541259766,48,78
53,"(0, 8)","('off',)","(54,)","(2900,)","('on',)","(94,)","(8300,)","(0, 57)","[('on', None), ('setColorTemperature>1', 8300), ('setSaturation>1', 57), ('setLevel>1', 94)]",4,0.027663707733154297,158,318
54,"(56, 0)","('on',)","(90,)","(2600,)","('on',)","(90,)","(2600,)","(78, 0)","[('setHue>1', 78)]",1,0.009084224700927734,79,82
55,"(35, 0)","('on',)","(82,)","(4100,)","('on',)","(18,)","(4100,)","(0, 26)","[('setSaturation>1', 26), ('setLevel>1', 18)]",2,0.01573657989501953,127,149
