,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('colorControl_hue', 'colorControl_saturation')","('switch',)","('switchLevel',)","('colorTemperature',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue', 'colorControl_saturation')",cmds,length,time,memory_num,visited_num
0,"(0, 53)","('on',)","(34,)","(3400,)","('on',)","(34,)","(6800,)","(0, 53)","[('setColorTemperature>1', 6800)]",1,0.0029168128967285156,47,50
1,"(58, 0)","('on',)","(54,)","(3700,)","('on',)","(12,)","(4100,)","(58, 0)","[('setColorTemperature>1', 4100), ('setLevel>1', 12)]",2,0.0021414756774902344,20,35
2,"(0, 34)","('on',)","(51,)","(4000,)","('on',)","(51,)","(8900,)","(0, 43)","[('setColorTemperature>1', 8900), ('setSaturation>1', 43)]",2,0.020315170288085938,144,215
3,"(23, 0)","('on',)","(46,)","(8000,)","('on',)","(41,)","(8000,)","(23, 0)","[('setLevel>1', 41)]",1,0.002599000930786133,43,45
4,"(92, 0)","('off',)","(37,)","(7600,)","('on',)","(37,)","(3500,)","(74, 0)","[('on', None), ('setColorTemperature>1', 3500), ('setHue>1', 74)]",3,0.00978541374206543,76,92
5,"(74, 0)","('off',)","(58,)","(4300,)","('on',)","(58,)","(4300,)","(0, 20)","[('on', None), ('setSaturation>1', 20)]",2,0.014161109924316406,121,126
6,"(0, 97)","('off',)","(99,)","(7300,)","('on',)","(99,)","(6200,)","(0, 97)","[('on', None), ('setColorTemperature>1', 6200)]",2,0.0027527809143066406,42,45
7,"(38, 0)","('off',)","(7,)","(6600,)","('on',)","(7,)","(8800,)","(1, 0)","[('on', None), ('setColorTemperature>1', 8800), ('setHue>1', 1)]",3,0.004638195037841797,67,72
8,"(37, 0)","('on',)","(72,)","(7800,)","('on',)","(72,)","(7800,)","(17, 0)","[('setHue>1', 17)]",1,0.0022096633911132812,19,21
