,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,1.2,0.0008683681488037109,3.4,5.7
std,0.42163702135578396,0.0004888376284955701,1.4298407059684812,1.888562063228706
min,1.0,0.00036978721618652344,2.0,4.0
25%,1.0,0.0006170868873596191,2.25,4.25
50%,1.0,0.0006765127182006836,3.0,5.0
75%,1.0,0.0010355114936828613,4.5,6.75
max,2.0,0.0019745826721191406,6.0,10.0
