,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,1.2,0.0025514602661132813,34.6,37.4
std,0.6324555320336759,0.002049251369091872,32.038865287161606,32.76244462456637
min,1.0,0.00029969215393066406,2.0,4.0
25%,1.0,0.0006975531578063965,5.25,7.5
50%,1.0,0.002207517623901367,29.0,32.0
75%,1.0,0.0036736726760864258,55.0,57.75
max,3.0,0.006452083587646484,92.0,97.0
