,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('colorControl_hue', 'colorControl_saturation')","('switch',)","('switchLevel',)","('colorTemperature',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue', 'colorControl_saturation')",cmds,length,time,memory_num,visited_num
0,"(55, 0)","('off',)","(75,)","(8700,)","('on',)","(75,)","(4900,)","(55, 0)","[('on', None), ('setColorTemperature>1', 4900)]",2,0.002258777618408203,29,32
1,"(0, 4)","('on',)","(40,)","(6400,)","('on',)","(24,)","(6400,)","(0, 4)","[('setLevel', 24)]",1,0.0016443729400634766,26,28
2,"(0, 77)","('on',)","(40,)","(5700,)","('on',)","(23,)","(5700,)","(0, 77)","[('setLevel', 23)]",1,0.0015747547149658203,25,27
3,"(4, 0)","('on',)","(25,)","(7200,)","('on',)","(25,)","(7800,)","(4, 0)","[('setColorTemperature>1', 7800)]",1,0.003485441207885742,57,60
4,"(38, 0)","('on',)","(83,)","(2500,)","('on',)","(53,)","(2500,)","(38, 0)","[('setLevel', 53)]",1,0.0033140182495117188,55,57
5,"(0, 67)","('off',)","(17,)","(6900,)","('on',)","(17,)","(6900,)","(0, 35)","[('on', None), ('setSaturation>1', 35)]",2,0.015712499618530273,137,141
6,"(98, 0)","('off',)","(22,)","(8200,)","('on',)","(20,)","(8200,)","(98, 0)","[('on', None), ('setLevel', 20)]",2,0.0016481876373291016,22,25
7,"(48, 0)","('on',)","(85,)","(7400,)","('on',)","(89,)","(7400,)","(48, 0)","[('setLevel', 89)]",1,0.005307674407958984,90,93
8,"(0, 13)","('off',)","(63,)","(7700,)","('on',)","(63,)","(7500,)","(0, 13)","[('on', None), ('setColorTemperature>1', 7500)]",2,0.003542184829711914,55,58
9,"(67, 0)","('off',)","(69,)","(2400,)","('on',)","(54,)","(2400,)","(67, 0)","[('on', None), ('setLevel', 54)]",2,0.003610372543334961,56,59
10,"(18, 0)","('on',)","(26,)","(4600,)","('on',)","(37,)","(4600,)","(18, 0)","[('setLevel', 37)]",1,0.0023348331451416016,38,41
11,"(0, 22)","('off',)","(65,)","(2700,)","('on',)","(65,)","(5600,)","(0, 22)","[('on', None), ('setColorTemperature>1', 5600)]",2,0.002421140670776367,35,39
12,"(53, 0)","('off',)","(39,)","(5200,)","('on',)","(39,)","(5200,)","(0, 96)","[('on', None), ('setSaturation>1', 96)]",2,0.022576570510864258,197,202
13,"(45, 0)","('off',)","(14,)","(6000,)","('on',)","(14,)","(4100,)","(45, 0)","[('on', None), ('setColorTemperature>1', 4100)]",2,0.0015506744384765625,21,24
14,"(99, 0)","('off',)","(14,)","(2900,)","('on',)","(14,)","(2900,)","(3, 0)","[('on', None), ('setHue>1', 3)]",2,0.0008997917175292969,5,8
15,"(35, 0)","('off',)","(18,)","(8600,)","('on',)","(55,)","(8600,)","(35, 0)","[('on', None), ('setLevel', 55)]",2,0.0036568641662597656,56,60
16,"(0, 63)","('on',)","(84,)","(4300,)","('on',)","(84,)","(4300,)","(15, 0)","[('setHue>1', 15)]",1,0.0019974708557128906,17,19
17,"(12, 0)","('on',)","(26,)","(3500,)","('on',)","(61,)","(3500,)","(12, 0)","[('setLevel', 61)]",1,0.003725767135620117,62,65
18,"(23, 0)","('off',)","(24,)","(6500,)","('on',)","(24,)","(6500,)","(23, 0)","[('on', None)]",1,0.0003018379211425781,2,4
19,"(85, 0)","('on',)","(49,)","(3700,)","('on',)","(49,)","(3700,)","(79, 0)","[('setHue>1', 79)]",1,0.009029388427734375,81,83
20,"(30, 0)","('off',)","(47,)","(8200,)","('on',)","(47,)","(8200,)","(53, 0)","[('on', None), ('setHue>1', 53)]",2,0.006484031677246094,54,58
21,"(62, 0)","('on',)","(81,)","(7600,)","('on',)","(81,)","(3800,)","(62, 0)","[('setColorTemperature>1', 3800)]",1,0.0011553764343261719,18,20
22,"(90, 0)","('off',)","(96,)","(4100,)","('on',)","(96,)","(4100,)","(0, 38)","[('on', None), ('setSaturation>1', 38)]",2,0.016001462936401367,139,144
23,"(61, 0)","('on',)","(96,)","(5000,)","('on',)","(96,)","(5000,)","(0, 3)","[('setSaturation>1', 3)]",1,0.011749982833862305,104,108
24,"(0, 78)","('on',)","(77,)","(4900,)","('on',)","(77,)","(4900,)","(47, 0)","[('setHue>1', 47)]",1,0.005495786666870117,49,51
25,"(36, 0)","('off',)","(99,)","(2600,)","('on',)","(99,)","(6300,)","(36, 0)","[('on', None), ('setColorTemperature>1', 6300)]",2,0.0028035640716552734,42,46
26,"(67, 0)","('off',)","(92,)","(3100,)","('on',)","(92,)","(3100,)","(54, 0)","[('on', None), ('setHue>1', 54)]",2,0.006596088409423828,56,59
27,"(27, 0)","('on',)","(70,)","(3100,)","('on',)","(70,)","(5200,)","(27, 0)","[('setColorTemperature>1', 5200)]",1,0.0019130706787109375,31,34
28,"(0, 94)","('on',)","(100,)","(4300,)","('on',)","(100,)","(4300,)","(0, 87)","[('setSaturation>1', 87)]",1,0.02123880386352539,189,192
29,"(0, 3)","('on',)","(21,)","(3200,)","('on',)","(21,)","(3200,)","(0, 63)","[('setSaturation>1', 63)]",1,0.018337249755859375,164,168
30,"(0, 39)","('on',)","(45,)","(8400,)","('on',)","(59,)","(8400,)","(0, 39)","[('setLevel', 59)]",1,0.0035648345947265625,60,63
31,"(13, 0)","('on',)","(26,)","(8200,)","('on',)","(26,)","(4000,)","(13, 0)","[('setColorTemperature>1', 4000)]",1,0.0012063980102539062,20,22
32,"(0, 60)","('on',)","(23,)","(8000,)","('on',)","(45,)","(8000,)","(0, 60)","[('setLevel', 45)]",1,0.002827882766723633,46,49
33,"(0, 13)","('off',)","(65,)","(6500,)","('on',)","(65,)","(7500,)","(0, 13)","[('on', None), ('setColorTemperature>1', 7500)]",2,0.0035190582275390625,54,58
34,"(0, 35)","('on',)","(100,)","(5100,)","('on',)","(100,)","(3300,)","(0, 35)","[('setColorTemperature>1', 3300)]",1,0.0008225440979003906,13,15
35,"(0, 31)","('off',)","(93,)","(2400,)","('on',)","(93,)","(2400,)","(0, 89)","[('on', None), ('setSaturation>1', 89)]",2,0.02163243293762207,190,195
36,"(0, 7)","('off',)","(14,)","(6300,)","('on',)","(37,)","(6300,)","(0, 7)","[('on', None), ('setLevel', 37)]",2,0.002618074417114258,38,42
37,"(56, 0)","('off',)","(51,)","(5700,)","('on',)","(51,)","(5700,)","(0, 82)","[('on', None), ('setSaturation>1', 82)]",2,0.020893335342407227,183,188
38,"(0, 55)","('off',)","(29,)","(4500,)","('on',)","(29,)","(4500,)","(0, 72)","[('on', None), ('setSaturation>1', 72)]",2,0.019704580307006836,173,178
39,"(95, 0)","('off',)","(35,)","(7600,)","('on',)","(35,)","(7600,)","(80, 0)","[('on', None), ('setHue>1', 80)]",2,0.009415626525878906,82,85
40,"(50, 0)","('off',)","(15,)","(4100,)","('on',)","(15,)","(8700,)","(50, 0)","[('on', None), ('setColorTemperature>1', 8700)]",2,0.004151344299316406,66,70
41,"(0, 23)","('off',)","(35,)","(3600,)","('on',)","(35,)","(6700,)","(0, 23)","[('on', None), ('setColorTemperature>1', 6700)]",2,0.0030579566955566406,46,50
42,"(28, 0)","('on',)","(23,)","(2200,)","('on',)","(23,)","(2200,)","(0, 81)","[('setSaturation>1', 81)]",1,0.020556926727294922,182,186
43,"(71, 0)","('on',)","(85,)","(4800,)","('on',)","(85,)","(2600,)","(71, 0)","[('setColorTemperature>1', 2600)]",1,0.00040721893310546875,6,8
44,"(0, 7)","('on',)","(9,)","(6400,)","('on',)","(9,)","(6400,)","(0, 48)","[('setSaturation>1', 48)]",1,0.016796112060546875,149,153
45,"(0, 35)","('on',)","(43,)","(6000,)","('on',)","(98,)","(6000,)","(0, 35)","[('setLevel', 98)]",1,0.005811452865600586,99,102
46,"(0, 14)","('off',)","(57,)","(7100,)","('on',)","(57,)","(7100,)","(92, 0)","[('on', None), ('setHue>1', 92)]",2,0.01087808609008789,94,97
47,"(0, 27)","('on',)","(96,)","(8900,)","('on',)","(96,)","(4800,)","(0, 27)","[('setColorTemperature>1', 4800)]",1,0.0016913414001464844,28,30
48,"(28, 0)","('off',)","(56,)","(2300,)","('on',)","(56,)","(2300,)","(0, 6)","[('on', None), ('setSaturation>1', 6)]",2,0.01244497299194336,107,112
49,"(0, 61)","('on',)","(74,)","(5900,)","('on',)","(74,)","(6600,)","(0, 61)","[('setColorTemperature>1', 6600)]",1,0.002699613571166992,45,48
50,"(84, 0)","('on',)","(40,)","(6000,)","('on',)","(13,)","(6000,)","(84, 0)","[('setLevel', 13)]",1,0.0009324550628662109,15,17
51,"(49, 0)","('on',)","(41,)","(5100,)","('on',)","(41,)","(5100,)","(71, 0)","[('setHue>1', 71)]",1,0.00816655158996582,72,75
52,"(88, 0)","('on',)","(26,)","(6600,)","('on',)","(26,)","(6100,)","(88, 0)","[('setColorTemperature>1', 6100)]",1,0.002423524856567383,41,43
53,"(0, 29)","('on',)","(37,)","(8200,)","('on',)","(37,)","(8200,)","(0, 88)","[('setSaturation>1', 88)]",1,0.021240949630737305,189,193
54,"(0, 33)","('off',)","(79,)","(8500,)","('on',)","(79,)","(8500,)","(0, 74)","[('on', None), ('setSaturation>1', 74)]",2,0.019977092742919922,175,180
55,"(37, 0)","('off',)","(7,)","(4700,)","('on',)","(7,)","(4700,)","(0, 63)","[('on', None), ('setSaturation>1', 63)]",2,0.018700599670410156,164,169
56,"(0, 48)","('off',)","(49,)","(2700,)","('on',)","(49,)","(5700,)","(0, 48)","[('on', None), ('setColorTemperature>1', 5700)]",2,0.0024864673614501953,36,40
57,"(91, 0)","('off',)","(71,)","(2300,)","('on',)","(71,)","(5800,)","(91, 0)","[('on', None), ('setColorTemperature>1', 5800)]",2,0.002531766891479492,37,41
58,"(2, 0)","('off',)","(48,)","(2200,)","('on',)","(48,)","(8200,)","(2, 0)","[('on', None), ('setColorTemperature>1', 8200)]",2,0.0039026737213134766,61,65
59,"(20, 0)","('on',)","(56,)","(3900,)","('on',)","(56,)","(3900,)","(0, 67)","[('setSaturation>1', 67)]",1,0.018871545791625977,168,172
60,"(0, 26)","('on',)","(36,)","(2700,)","('on',)","(90,)","(2700,)","(0, 26)","[('setLevel', 90)]",1,0.0054111480712890625,91,94
61,"(50, 0)","('on',)","(89,)","(6900,)","('on',)","(89,)","(6800,)","(50, 0)","[('setColorTemperature>1', 6800)]",1,0.0028066635131835938,48,50
62,"(0, 76)","('off',)","(83,)","(4300,)","('on',)","(83,)","(6900,)","(0, 76)","[('on', None), ('setColorTemperature>1', 6900)]",2,0.003179788589477539,48,52
63,"(92, 0)","('on',)","(26,)","(6600,)","('on',)","(65,)","(6600,)","(92, 0)","[('setLevel', 65)]",1,0.00393366813659668,66,69
64,"(39, 0)","('off',)","(86,)","(7300,)","('on',)","(78,)","(7300,)","(39, 0)","[('on', None), ('setLevel', 78)]",2,0.00498509407043457,80,83
65,"(0, 81)","('off',)","(76,)","(2700,)","('on',)","(76,)","(5200,)","(0, 81)","[('on', None), ('setColorTemperature>1', 5200)]",2,0.0022029876708984375,31,35
66,"(7, 0)","('on',)","(91,)","(3300,)","('on',)","(91,)","(6400,)","(7, 0)","[('setColorTemperature>1', 6400)]",1,0.0026102066040039062,43,46
67,"(94, 0)","('off',)","(66,)","(6600,)","('on',)","(71,)","(6600,)","(94, 0)","[('on', None), ('setLevel', 71)]",2,0.004570722579956055,72,76
68,"(99, 0)","('on',)","(92,)","(7600,)","('on',)","(92,)","(7600,)","(0, 67)","[('setSaturation>1', 67)]",1,0.019216299057006836,168,172
69,"(0, 50)","('off',)","(61,)","(6800,)","('on',)","(61,)","(6800,)","(0, 80)","[('on', None), ('setSaturation>1', 80)]",2,0.020940065383911133,181,186
70,"(0, 5)","('off',)","(98,)","(6200,)","('on',)","(98,)","(6200,)","(0, 17)","[('on', None), ('setSaturation>1', 17)]",2,0.013730049133300781,118,123
71,"(7, 0)","('off',)","(2,)","(5700,)","('on',)","(2,)","(5700,)","(0, 40)","[('on', None), ('setSaturation>1', 40)]",2,0.016245126724243164,141,146
72,"(0, 66)","('off',)","(17,)","(7600,)","('on',)","(17,)","(7600,)","(0, 62)","[('on', None), ('setSaturation>1', 62)]",2,0.01873493194580078,164,168
73,"(0, 2)","('off',)","(49,)","(5100,)","('on',)","(49,)","(5100,)","(0, 84)","[('on', None), ('setSaturation>1', 84)]",2,0.021090030670166016,185,190
74,"(32, 0)","('on',)","(87,)","(6200,)","('on',)","(87,)","(6200,)","(100, 0)","[('setHue>1', 100)]",1,0.012008190155029297,101,104
75,"(0, 56)","('on',)","(95,)","(6900,)","('on',)","(95,)","(6900,)","(0, 5)","[('setSaturation>1', 5)]",1,0.012172460556030273,107,110
76,"(22, 0)","('off',)","(70,)","(4300,)","('on',)","(70,)","(4300,)","(0, 63)","[('on', None), ('setSaturation>1', 63)]",2,0.018805503845214844,164,169
77,"(80, 0)","('off',)","(25,)","(5500,)","('on',)","(25,)","(5500,)","(0, 49)","[('on', None), ('setSaturation>1', 49)]",2,0.017322063446044922,150,155
78,"(38, 0)","('on',)","(24,)","(2600,)","('on',)","(24,)","(2600,)","(96, 0)","[('setHue>1', 96)]",1,0.010934591293334961,97,100
79,"(0, 7)","('off',)","(58,)","(8200,)","('on',)","(58,)","(8200,)","(0, 99)","[('on', None), ('setSaturation>1', 99)]",2,0.022809982299804688,200,205
80,"(0, 48)","('on',)","(4,)","(2900,)","('on',)","(4,)","(3400,)","(0, 48)","[('setColorTemperature>1', 3400)]",1,0.0008840560913085938,13,16
81,"(49, 0)","('on',)","(13,)","(2400,)","('on',)","(70,)","(2400,)","(49, 0)","[('setLevel', 70)]",1,0.004258632659912109,71,74
82,"(0, 0)","('on',)","(13,)","(4400,)","('on',)","(13,)","(4400,)","(0, 5)","[('setSaturation>1', 5)]",1,0.012080669403076172,106,110
83,"(0, 45)","('off',)","(1,)","(6900,)","('on',)","(1,)","(6900,)","(52, 0)","[('on', None), ('setHue>1', 52)]",2,0.006374835968017578,54,57
84,"(0, 97)","('off',)","(15,)","(8300,)","('on',)","(15,)","(3900,)","(0, 97)","[('on', None), ('setColorTemperature>1', 3900)]",2,0.0014503002166748047,19,22
85,"(0, 18)","('off',)","(23,)","(3400,)","('on',)","(23,)","(5900,)","(0, 18)","[('on', None), ('setColorTemperature>1', 5900)]",2,0.002587556838989258,38,42
86,"(94, 0)","('on',)","(15,)","(2500,)","('on',)","(15,)","(4100,)","(94, 0)","[('setColorTemperature>1', 4100)]",1,0.0012769699096679688,20,23
87,"(0, 34)","('off',)","(98,)","(2300,)","('on',)","(19,)","(2300,)","(0, 34)","[('on', None), ('setLevel', 19)]",2,0.0015687942504882812,21,24
88,"(0, 29)","('on',)","(93,)","(3700,)","('on',)","(93,)","(6600,)","(0, 29)","[('setColorTemperature>1', 6600)]",1,0.002721548080444336,45,48
