,length,time,memory_num,visited_num
count,100.0,100.0,100.0,100.0
mean,4.04,0.007573394775390625,54.63,73.4
std,1.2220201853215573,0.004053797899816613,26.590290245755785,33.99197766318614
min,1.0,0.0008816719055175781,2.0,4.0
25%,3.0,0.004578888416290283,33.5,44.0
50%,4.0,0.007100343704223633,56.0,80.5
75%,5.0,0.010584712028503418,77.5,100.0
max,7.0,0.019659757614135742,100.0,151.0
