,length,time,memory_num,visited_num
count,100.0,100.0,100.0,100.0
mean,3.99,0.017097179889678956,110.12,186.95
std,0.7034546786030251,0.007254747165098741,48.05642306684714,71.32347354684768
min,3.0,0.004472255706787109,33.0,59.0
25%,3.75,0.012108862400054932,71.75,137.5
50%,4.0,0.016444921493530273,100.0,176.0
75%,4.0,0.022840678691864014,154.25,234.75
max,5.0,0.03279924392700195,201.0,363.0
