,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,2.3,0.0016403675079345703,3.9,8.5
std,0.8232726023485646,0.0009578435798276414,2.1832697191750423,4.222953153106642
min,1.0,0.00048065185546875,2.0,4.0
25%,2.0,0.0008294582366943359,2.25,5.0
50%,2.5,0.001493215560913086,3.0,8.0
75%,3.0,0.0025261640548706055,6.0,12.0
max,3.0,0.002997159957885742,7.0,15.0
