,length,time,memory_num,visited_num
count,10.0,10.0,10.0,10.0
mean,3.8,0.1834416151046753,1193.4,1199.4
std,1.2292725943057181,0.12268759417934195,807.0778841667706,806.9508039527565
min,2.0,0.013229608535766602,79.0,83.0
25%,3.0,0.07444310188293457,487.0,493.75
50%,4.0,0.2297840118408203,1498.0,1505.0
75%,5.0,0.2578098177909851,1698.5,1706.5
max,5.0,0.34199976921081543,2282.0,2286.0
