,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('tvChannel', 'mediaInputSource')","('audioMute',)","('audioVolume',)","('switch',)","('tvChannel', 'mediaInputSource')","('audioMute',)","('audioVolume',)","('switch',)",cmds,length,time,memory_num,visited_num
24,"(0, 'HDMI2')","('unmuted',)","(66,)","('off',)","(0, 'digitalTv')","('muted',)","(4,)","('on',)","[('on', None), ('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 0), ('setVolume>0', 4), ('setMute', 'muted')]",5,0.0023505687713623047,6,11
25,"(0, 'HDMI2')","('unmuted',)","(63,)","('on',)","(0, 'digitalTv')","('unmuted',)","(76,)","('off',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 0), ('setVolume>0', 76), ('off', None)]",4,0.006512880325317383,77,82
26,"(675, 'digitalTv')","('unmuted',)","(62,)","('off',)","(580, 'digitalTv')","('unmuted',)","(51,)","('on',)","[('on', None), ('setTvChannel>0', 580), ('setVolume>0', 51)]",3,0.008049964904785156,53,69
27,"(0, 'digitalTv')","('unmuted',)","(16,)","('off',)","(0, 'HDMI2')","('muted',)","(74,)","('on',)","[('on', None), ('setInputSource>0', 'HDMI2'), ('setVolume>0', 74), ('setMute', 'muted')]",4,0.013720273971557617,75,114
28,"(831, 'digitalTv')","('unmuted',)","(64,)","('on',)","(832, 'digitalTv')","('muted',)","(83,)","('on',)","[('setTvChannel>0', 832), ('setVolume>0', 83), ('setMute', 'muted')]",3,0.011509418487548828,84,116
29,"(0, 'HDMI2')","('unmuted',)","(7,)","('on',)","(751, 'digitalTv')","('muted',)","(81,)","('on',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 751), ('setVolume>0', 81), ('setMute', 'muted')]",4,0.011718273162841797,82,112
30,"(0, 'HDMI2')","('unmuted',)","(24,)","('on',)","(0, 'HDMI2')","('unmuted',)","(91,)","('off',)","[('setVolume>0', 91), ('off', None)]",2,0.005802154541015625,92,95
31,"(0, 'HDMI2')","('muted',)","(88,)","('off',)","(0, 'HDMI2')","('muted',)","(13,)","('on',)","[('on', None), ('setMute', 'unmuted'), ('setVolume>0', 13), ('setMute', 'muted')]",4,0.0019044876098632812,15,20
32,"(752, 'digitalTv')","('muted',)","(8,)","('on',)","(675, 'digitalTv')","('muted',)","(85,)","('off',)","[('setTvChannel>0', 675), ('setMute', 'unmuted'), ('setVolume>0', 85), ('setMute', 'muted'), ('off', None)]",5,0.010893106460571289,86,113
33,"(506, 'digitalTv')","('unmuted',)","(11,)","('on',)","(0, 'digitalTv')","('unmuted',)","(0,)","('off',)","[('setTvChannel>0', 0), ('setVolume>0', 0), ('off', None)]",3,0.0008881092071533203,2,4
34,"(0, 'HDMI2')","('muted',)","(25,)","('on',)","(530, 'digitalTv')","('unmuted',)","(96,)","('off',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 530), ('setMute', 'unmuted'), ('setVolume>0', 96), ('off', None)]",5,0.00972890853881836,97,115
35,"(524, 'digitalTv')","('unmuted',)","(19,)","('on',)","(0, 'HDMI2')","('unmuted',)","(49,)","('on',)","[('setInputSource>0', 'HDMI2'), ('setVolume>0', 49)]",2,0.010477304458618164,50,88
36,"(0, 'HDMI2')","('muted',)","(12,)","('on',)","(675, 'digitalTv')","('unmuted',)","(12,)","('on',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 675), ('setMute', 'unmuted')]",3,0.005918979644775391,25,29
37,"(530, 'digitalTv')","('muted',)","(11,)","('off',)","(580, 'digitalTv')","('unmuted',)","(61,)","('on',)","[('on', None), ('setTvChannel>0', 580), ('setMute', 'unmuted'), ('setVolume>0', 61)]",4,0.00756382942199707,62,81
38,"(645, 'digitalTv')","('unmuted',)","(19,)","('on',)","(517, 'digitalTv')","('unmuted',)","(4,)","('off',)","[('setTvChannel>0', 517), ('setVolume>0', 4), ('off', None)]",3,0.0021219253540039062,7,13
39,"(645, 'digitalTv')","('unmuted',)","(3,)","('off',)","(0, 'digitalTv')","('muted',)","(60,)","('on',)","[('on', None), ('setTvChannel>0', 0), ('setVolume>0', 60), ('setMute', 'muted')]",4,0.004672050476074219,61,65
40,"(642, 'digitalTv')","('muted',)","(84,)","('on',)","(831, 'digitalTv')","('unmuted',)","(74,)","('on',)","[('setTvChannel>0', 831), ('setMute', 'unmuted'), ('setVolume>0', 74)]",3,0.010891199111938477,76,108
41,"(0, 'HDMI2')","('unmuted',)","(17,)","('on',)","(517, 'digitalTv')","('unmuted',)","(49,)","('off',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 517), ('setVolume>0', 49), ('off', None)]",4,0.005587100982666016,50,60
42,"(0, 'digitalTv')","('unmuted',)","(11,)","('off',)","(0, 'HDMI2')","('unmuted',)","(25,)","('on',)","[('on', None), ('setInputSource>0', 'HDMI2'), ('setVolume>0', 25)]",3,0.009381294250488281,26,65
